Código;Artículo;Descripción;Descripción
50-2030!MAI!95;50-2030;MAIZ;95
04-1740!ESM!95;04-1740;ESMERALDA;95
04-1740!ESM!100;04-1740;ESMERALDA;100
18-401!GRI!1;18-401;GRIS;1
18-401!GRI!2;18-401;GRIS;2
18-401!GRI!3;18-401;GRIS;3
29-4110!AZNSAL!85;29-4110;AZUL NOCHE/SALMON;85
29-4700!CEL!100;29-4700;CELESTE;100
29-4730!AZA!90;29-4730;AZUL ZAFIRO;90
20-2128!MA!L;20-2128;MARRON;L
20-2128!MA!M;20-2128;MARRON;M
20-2128!MA!S;20-2128;MARRON;S
20-2128!MA!XL;20-2128;MARRON;XL
20-2128!MA!XXL;20-2128;MARRON;XXL
29-6040!FRAZ!85;29-6040;FRAMBUEZA/AZUL;85
15-5370!MA!85;15-5370;MARRON;85
15-5370!MA!90;15-5370;MARRON;90
15-5370!MA!95;15-5370;MARRON;95
15-5370!MA!100;15-5370;MARRON;100
34-1!NEG!XL;34-1;NEGRO;XL
34-1!VER!XL;34-1;VERDE;XL
34-1!FRA!XL;34-1;FRANCIA;XL
34-1!FLA!XL;34-1;FLAMINGO;XL
34-1!FLUO!XL;34-1;FLUO;XL
34-1!NEG!L;34-1;NEGRO;L
34-1!VER!L;34-1;VERDE;L
34-1!FRA!L;34-1;FRANCIA;L
34-1!FLUO!L;34-1;FLUO;L
34-1!NEG!M;34-1;NEGRO;M
34-1!VER!M;34-1;VERDE;M
34-1!FRA!M;34-1;FRANCIA;M
34-1!FLUO!M;34-1;FLUO;M
34-1!NEG!S;34-1;NEGRO;S
34-1!FRA!S;34-1;FRANCIA;S
34-1!FLUO!S;34-1;FLUO;S
34-6!BLA!XL;34-6;BLANCO;XL
34-6!NEG!XL;34-6;NEGRO;XL
34-6!BLA!L;34-6;BLANCO;L
34-6!NEG!L;34-6;NEGRO;L
34-6!BLA!M;34-6;BLANCO;M
34-6!NEG!M;34-6;NEGRO;M
34-6!BLA!S;34-6;BLANCO;S
34-6!NEG!S;34-6;NEGRO;S
34-8!PINK!XL;34-8;PINK;XL
34-8!LIM!XL;34-8;LIMA;XL
34-8!NEG!L;34-8;NEGRO;L
34-8!PINK!L;34-8;PINK;L
34-8!BLUE!L;34-8;BLUE;L
34-8!LIM!L;34-8;LIMA;L
34-8!NEG!M;34-8;NEGRO;M
34-8!PINK!M;34-8;PINK;M
34-8!BLUE!M;34-8;BLUE;M
34-8!PINK!S;34-8;PINK;S
34-8!BLUE!S;34-8;BLUE;S
34-8!LIM!S;34-8;LIMA;S
34-9!NEG!XL;34-9;NEGRO;XL
34-9!AFRI!XL;34-9;Africa;XL
34-9!MAL!XL;34-9;MALVA;XL
34-9!NEG!L;34-9;NEGRO;L
34-9!AFRI!L;34-9;Africa;L
34-9!MAL!L;34-9;MALVA;L
34-9!NEG!M;34-9;NEGRO;M
34-9!AFRI!M;34-9;Africa;M
34-9!MAL!M;34-9;MALVA;M
34-9!NEG!S;34-9;NEGRO;S
34-9!MAL!S;34-9;MALVA;S
34-5!MEL!XL;34-5;MELANGE;XL
34-5!MRNO!XL;34-5;MARINO;XL
34-5!TOP!XL;34-5;TOPO;XL
34-5!MEL!L;34-5;MELANGE;L
34-5!MRNO!L;34-5;MARINO;L
34-5!TOP!L;34-5;TOPO;L
34-5!MRNO!M;34-5;MARINO;M
34-5!TOP!M;34-5;TOPO;M
34-5!MRNO!S;34-5;MARINO;S
34-9!COR!XL;34-9;CORAL;XL
34-9!MO!XL;34-9;MORA;XL
34-9!BLAC!XL;34-9;BLACK;XL
34-9!WAT!XL;34-9;WATER;XL
34-9!GOL!XL;34-9;GOLD;XL
34-9!COR!L;34-9;CORAL;L
34-9!MO!L;34-9;MORA;L
34-9!BLAC!L;34-9;BLACK;L
34-9!WAT!L;34-9;WATER;L
34-9!GOL!L;34-9;GOLD;L
34-9!COR!M;34-9;CORAL;M
34-9!MO!M;34-9;MORA;M
34-9!BLAC!M;34-9;BLACK;M
34-9!WAT!M;34-9;WATER;M
34-9!GOL!M;34-9;GOLD;M
34-9!COR!S;34-9;CORAL;S
34-9!MO!S;34-9;MORA;S
34-9!BLAC!S;34-9;BLACK;S
34-9!WAT!S;34-9;WATER;S
34-9!GOL!S;34-9;GOLD;S
34-5!NEG!XL;34-5;NEGRO;XL
34-5!NEG!L;34-5;NEGRO;L
34-5!NEG!M;34-5;NEGRO;M
34-5!MEL!M;34-5;MELANGE;M
34-5!NEG!S;34-5;NEGRO;S
34-5!MEL!S;34-5;MELANGE;S
38-10!NEG!L;38-10;NEGRO;L
29-S23!S!U;29-S23;SURTIDO;UNICO
38-10!NEG!S;38-10;NEGRO;S
38-10!NEG!M;38-10;NEGRO;M
38-10!NEG!XL;38-10;NEGRO;XL
38-10!NEG!XXL;38-10;NEGRO;XXL
38-10!MRNO!S;38-10;MARINO;S
38-10!MRNO!M;38-10;MARINO;M
38-10!MRNO!L;38-10;MARINO;L
38-10!MRNO!XL;38-10;MARINO;XL
38-10!MRNO!XXL;38-10;MARINO;XXL
38-10!GME!S;38-10;GRIS MELANGE;S
38-10!GME!M;38-10;GRIS MELANGE;M
38-10!GME!L;38-10;GRIS MELANGE;L
38-10!GME!XL;38-10;GRIS MELANGE;XL
38-10!GME!XXL;38-10;GRIS MELANGE;XXL
18-1008!BLA!1;18-1008;BLANCO;1
18-1008!NEG!1;18-1008;NEGRO;1
18-1008!BLA!2;18-1008;BLANCO;2
18-1008!NEG!2;18-1008;NEGRO;2
18-1008!BLA!3;18-1008;BLANCO;3
18-1008!NEG!3;18-1008;NEGRO;3
18-1008!BLA!4;18-1008;BLANCO;4
18-1008!NEG!4;18-1008;NEGRO;4
18-1009!NEG!1;18-1009;NEGRO;1
18-1009!NEG!2;18-1009;NEGRO;2
18-1009!NEG!3;18-1009;NEGRO;3
18-1009!NEG!4;18-1009;NEGRO;4
38-101!S!U;38-101;SURTIDO;UNICO
27-2014!BLA!100;27-2014;BLANCO;100
38-102!S!M;38-102;SURTIDO;M
38-102!S!L;38-102;SURTIDO;L
38-102!S!XL;38-102;SURTIDO;XL
38-1030!BLA!100;38-1030;BLANCO;100
38-1030!BLA!105;38-1030;BLANCO;105
38-1030!BLA!110;38-1030;BLANCO;110
38-1030!BLA!115;38-1030;BLANCO;115
38-1030!BLA!120;38-1030;BLANCO;120
38-1030!BLA!125;38-1030;BLANCO;125
38-1030!BLA!95;38-1030;BLANCO;95
38-1030!NEG!100;38-1030;NEGRO;100
38-1030!NEG!105;38-1030;NEGRO;105
38-1030!NEG!110;38-1030;NEGRO;110
38-1030!NEG!115;38-1030;NEGRO;115
38-1030!NEG!120;38-1030;NEGRO;120
38-1030!NEG!125;38-1030;NEGRO;125
38-1030!NEG!95;38-1030;NEGRO;95
38-1030!VIS!100;38-1030;VISON;100
38-1030!VIS!105;38-1030;VISON;105
38-1030!VIS!110;38-1030;VISON;110
38-1030!VIS!115;38-1030;VISON;115
38-1030!VIS!120;38-1030;VISON;120
38-1030!VIS!125;38-1030;VISON;125
38-1030!VIS!95;38-1030;VISON;95
27-3013!AZN!90;27-3013;AZUL NOCHE;90
27-3013!GME!100;27-3013;GRIS MELANGE;100
38-1060!BLA!115;38-1060;BLANCO;115
38-1060!BLA!95;38-1060;BLANCO;95
38-1060!NEG!105;38-1060;NEGRO;105
38-1080!MRNO!100;38-1080;MARINO;100
38-1080!MRNO!105;38-1080;MARINO;105
38-1080!MRNO!110;38-1080;MARINO;110
38-1080!MRNO!115;38-1080;MARINO;115
38-1080!MRNO!120;38-1080;MARINO;120
38-1080!MRNO!95;38-1080;MARINO;95
38-1080!GRI!100;38-1080;GRIS;100
38-1080!GRI!105;38-1080;GRIS;105
38-1080!GRI!110;38-1080;GRIS;110
38-1080!GRI!115;38-1080;GRIS;115
38-1080!GRI!120;38-1080;GRIS;120
38-1080!GRI!95;38-1080;GRIS;95
38-1080!VIS!100;38-1080;VISON;100
38-1080!VIS!105;38-1080;VISON;105
38-1080!VIS!110;38-1080;VISON;110
38-1080!VIS!115;38-1080;VISON;115
38-1080!VIS!120;38-1080;VISON;120
38-1080!VIS!95;38-1080;VISON;95
38-1080!FUC!100;38-1080;FUCSIA;100
38-1080!FUC!105;38-1080;FUCSIA;105
38-1080!FUC!110;38-1080;FUCSIA;110
38-1080!FUC!115;38-1080;FUCSIA;115
38-1080!FUC!120;38-1080;FUCSIA;120
38-1080!FUC!95;38-1080;FUCSIA;95
27-061!UVA!85;27-061;UVA;85
27-061!UVA!90;27-061;UVA;90
27-061!UVA!95;27-061;UVA;95
27-061!UVA!100;27-061;UVA;100
27-064!S!U;27-064;SURTIDO;UNICO
27-062!UVA!90;27-062;UVA;90
27-062!UVA!95;27-062;UVA;95
27-062!UVA!100;27-062;UVA;100
27-063!UVA!85;27-063;UVA;85
27-063!UVA!90;27-063;UVA;90
27-063!UVA!95;27-063;UVA;95
27-063!UVA!100;27-063;UVA;100
27-100!S!U;27-100;SURTIDO;UNICO
27-100!S!U;27-100;SURTIDO;UNICO
27-100!S!U;27-100;SURTIDO;UNICO
27-111!NBO!U;27-111;NEGRO/BORDO;UNICO
27-111!BBO!U;27-111;BLANCO/BORDO;UNICO
27-111!BL!U;27-111;BLANCO/LILA;UNICO
27-111!AZLI!U;27-111;AZUL/LILA;UNICO
27-111!NAZ!U;27-111;NEGRO/AZUL;UNICO
27-111!NGBO!U;27-111;NEGRO/BLANCO;UNICO
27-111!ABO!U;27-111;AZUL/BORDO;UNICO
27-111!NGLI!U;27-111;NEGRO/LILA;UNICO
27-111!BA!U;27-111;BLANCO/AZUL;UNICO
27-111!BORLIL!U;27-111;BORDO/LILA;UNICO
27-112!AL!4;27-112;ACUA/LILA;4
27-112!AL!6;27-112;ACUA/LILA;6
27-112!GRILIL!8;27-112;GRIS/LILA;8
27-112!RG!10;27-112;ROSA/GRIS;10
27-113!AL!4;27-113;ACUA/LILA;4
27-113!AL!6;27-113;ACUA/LILA;6
27-113!GRILIL!8;27-113;GRIS/LILA;8
27-113!RG!10;27-113;ROSA/GRIS;10
27-200!S!U;27-200;SURTIDO;UNICO
27-300!S!U;27-300;SURTIDO;UNICO
27-301!S!U;27-301;SURTIDO;UNICO
27-301!S!U;27-301;SURTIDO;UNICO
27-302!S!U;27-302;SURTIDO;UNICO
27-302!S!U;27-302;SURTIDO;UNICO
27-601!S!U;27-601;SURTIDO;UNICO
27-1000!NEG!85;27-1000;NEGRO;85
27-1000!BLA!85;27-1000;BLANCO;85
27-1000!ROJ!85;27-1000;ROJO;85
27-1000!NR!85;27-1000;NEGRO/ROJO;85
27-1000!MAR!85;27-1000;MARFIL;85
27-1000!AVE!85;27-1000;AVELLANA;85
27-1000!VM!85;27-1000;VERDE MILITAR;85
27-1000!MOR!85;27-1000;MORADO;85
27-1000!NEG!90;27-1000;NEGRO;90
27-1000!BLA!90;27-1000;BLANCO;90
27-1000!ROJ!90;27-1000;ROJO;90
27-1000!NR!90;27-1000;NEGRO/ROJO;90
27-1000!MAR!90;27-1000;MARFIL;90
27-1000!AVE!90;27-1000;AVELLANA;90
27-1000!VM!90;27-1000;VERDE MILITAR;90
27-1000!MOR!90;27-1000;MORADO;90
27-1000!NEG!95;27-1000;NEGRO;95
27-1000!BLA!95;27-1000;BLANCO;95
27-1000!ROJ!95;27-1000;ROJO;95
27-1000!NR!95;27-1000;NEGRO/ROJO;95
27-1000!MAR!95;27-1000;MARFIL;95
27-1000!AVE!95;27-1000;AVELLANA;95
27-1000!VM!95;27-1000;VERDE MILITAR;95
27-1000!MOR!95;27-1000;MORADO;95
27-1000!NEG!100;27-1000;NEGRO;100
27-1000!BLA!100;27-1000;BLANCO;100
27-1000!ROJ!100;27-1000;ROJO;100
27-1000!NR!100;27-1000;NEGRO/ROJO;100
27-1000!MAR!100;27-1000;MARFIL;100
27-1000!AVE!100;27-1000;AVELLANA;100
27-1000!VM!100;27-1000;VERDE MILITAR;100
27-1000!MOR!100;27-1000;MORADO;100
27-1001!NEG!85;27-1001;NEGRO;85
27-1001!BLA!85;27-1001;BLANCO;85
27-1001!ROJ!85;27-1001;ROJO;85
27-1001!RVI!85;27-1001;ROSA VINTAGE;85
27-1001!UVA!85;27-1001;UVA;85
27-1001!FUC!85;27-1001;FUCSIA;85
27-1001!NEG!90;27-1001;NEGRO;90
27-1001!BLA!90;27-1001;BLANCO;90
27-1001!ROJ!90;27-1001;ROJO;90
27-1001!MAR!90;27-1001;MARFIL;90
27-1001!AVE!90;27-1001;AVELLANA;90
27-1001!VM!90;27-1001;VERDE MILITAR;90
27-1001!MOR!90;27-1001;MORADO;90
27-1001!RVI!90;27-1001;ROSA VINTAGE;90
27-1001!UVA!90;27-1001;UVA;90
27-1001!FUC!90;27-1001;FUCSIA;90
27-1001!NEG!95;27-1001;NEGRO;95
27-1001!BLA!95;27-1001;BLANCO;95
27-1001!ROJ!95;27-1001;ROJO;95
27-1001!MAR!95;27-1001;MARFIL;95
27-1001!AVE!95;27-1001;AVELLANA;95
27-1001!VM!95;27-1001;VERDE MILITAR;95
27-1001!MOR!95;27-1001;MORADO;95
27-1001!RVI!95;27-1001;ROSA VINTAGE;95
27-1001!UVA!95;27-1001;UVA;95
27-1001!FUC!95;27-1001;FUCSIA;95
27-1001!NEG!100;27-1001;NEGRO;100
27-1001!BLA!100;27-1001;BLANCO;100
27-1001!ROJ!100;27-1001;ROJO;100
27-1001!MAR!100;27-1001;MARFIL;100
27-1001!AVE!100;27-1001;AVELLANA;100
27-1001!VM!100;27-1001;VERDE MILITAR;100
27-1001!MOR!100;27-1001;MORADO;100
27-1001!RVI!100;27-1001;ROSA VINTAGE;100
27-1001!UVA!100;27-1001;UVA;100
27-1003!NEG!85;27-1003;NEGRO;85
27-1003!BLA!85;27-1003;BLANCO;85
27-1003!ROJ!85;27-1003;ROJO;85
27-1003!MAR!85;27-1003;MARFIL;85
27-1003!AVE!85;27-1003;AVELLANA;85
27-1003!RVI!85;27-1003;ROSA VINTAGE;85
27-1003!UVA!85;27-1003;UVA;85
27-1003!FUC!85;27-1003;FUCSIA;85
27-1003!NEG!90;27-1003;NEGRO;90
27-1003!BLA!90;27-1003;BLANCO;90
27-1003!ROJ!90;27-1003;ROJO;90
27-1003!MAR!90;27-1003;MARFIL;90
27-1003!AVE!90;27-1003;AVELLANA;90
27-1003!RVI!90;27-1003;ROSA VINTAGE;90
27-1003!UVA!90;27-1003;UVA;90
27-1003!FUC!90;27-1003;FUCSIA;90
27-1003!NEG!95;27-1003;NEGRO;95
27-1003!BLA!95;27-1003;BLANCO;95
27-1003!ROJ!95;27-1003;ROJO;95
27-1003!MAR!95;27-1003;MARFIL;95
27-1003!AVE!95;27-1003;AVELLANA;95
27-1003!RVI!95;27-1003;ROSA VINTAGE;95
27-1003!UVA!95;27-1003;UVA;95
27-1003!FUC!95;27-1003;FUCSIA;95
27-1003!NEG!100;27-1003;NEGRO;100
27-1003!BLA!100;27-1003;BLANCO;100
27-1003!ROJ!100;27-1003;ROJO;100
27-1003!MAR!100;27-1003;MARFIL;100
27-1003!AVE!100;27-1003;AVELLANA;100
27-1003!RVI!100;27-1003;ROSA VINTAGE;100
27-1003!UVA!100;27-1003;UVA;100
27-1003!FUC!100;27-1003;FUCSIA;100
27-1004!NEG!85;27-1004;NEGRO;85
27-1004!BLA!85;27-1004;BLANCO;85
27-1004!RVI!85;27-1004;ROSA VINTAGE;85
27-1004!UVA!85;27-1004;UVA;85
27-1004!NEG!90;27-1004;NEGRO;90
27-1004!BLA!90;27-1004;BLANCO;90
27-1004!RVI!90;27-1004;ROSA VINTAGE;90
27-1004!UVA!90;27-1004;UVA;90
27-1004!FUC!90;27-1004;FUCSIA;90
27-1004!NEG!95;27-1004;NEGRO;95
27-1004!BLA!95;27-1004;BLANCO;95
27-1004!RVI!95;27-1004;ROSA VINTAGE;95
27-1004!UVA!95;27-1004;UVA;95
27-1004!NEG!100;27-1004;NEGRO;100
27-1004!BLA!100;27-1004;BLANCO;100
27-1004!RVI!100;27-1004;ROSA VINTAGE;100
27-1004!UVA!100;27-1004;UVA;100
27-1004!FUC!100;27-1004;FUCSIA;100
27-1005!NEG!85;27-1005;NEGRO;85
27-1005!BLA!85;27-1005;BLANCO;85
27-1005!NEG!90;27-1005;NEGRO;90
27-1005!BLA!90;27-1005;BLANCO;90
27-1005!NEG!95;27-1005;NEGRO;95
27-1005!BLA!95;27-1005;BLANCO;95
27-1005!NEG!100;27-1005;NEGRO;100
27-1005!BLA!100;27-1005;BLANCO;100
27-1007!NEG!85;27-1007;NEGRO;85
27-1007!BLA!85;27-1007;BLANCO;85
27-1007!UVA!85;27-1007;UVA;85
27-1007!FUC!85;27-1007;FUCSIA;85
27-1007!LIM!85;27-1007;LIMA;85
27-1007!NEG!90;27-1007;NEGRO;90
27-1007!BLA!90;27-1007;BLANCO;90
27-1007!UVA!90;27-1007;UVA;90
27-1007!FUC!90;27-1007;FUCSIA;90
27-1007!LIM!90;27-1007;LIMA;90
27-1007!NEG!95;27-1007;NEGRO;95
27-1007!BLA!95;27-1007;BLANCO;95
27-1007!UVA!95;27-1007;UVA;95
27-1007!FUC!95;27-1007;FUCSIA;95
27-1007!NEG!100;27-1007;NEGRO;100
27-1007!BLA!100;27-1007;BLANCO;100
27-1007!UVA!100;27-1007;UVA;100
27-1007!FUC!100;27-1007;FUCSIA;100
27-1007!LIM!100;27-1007;LIMA;100
27-1009!NEG!85;27-1009;NEGRO;85
27-1009!BLA!85;27-1009;BLANCO;85
27-1009!ROJ!85;27-1009;ROJO;85
27-1009!FUC!85;27-1009;FUCSIA;85
27-1009!NEG!90;27-1009;NEGRO;90
27-1009!BLA!90;27-1009;BLANCO;90
27-1009!ROJ!90;27-1009;ROJO;90
27-1009!FUC!90;27-1009;FUCSIA;90
27-1009!NEG!95;27-1009;NEGRO;95
27-1009!BLA!95;27-1009;BLANCO;95
